Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
India,IND,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,2.72066307454044,2.66772054665755,..,..,..,..,..,..,..,..
India,IND,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,22.4238831692773,21.3739204322784,..,..,..,..,..,..,..,..
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,4.96065332607863,5.1736825587741,5.36101124797904,..,..,..,..,..,..,..
India,IND,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,32.4755540414775,34.3055237512019,..,..,..,..,..,..,..,..
India,IND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,600.966036887893,630.900867833184,..,..,..,..,..,..,..,..
India,IND,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,101883.928,92694.426,98994.332,95829.711,..,..,..,..,..,..
India,IND,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,17.3493138262499,16.2538398153488,15.3430503454798,..,..,..,..,..,..,..
India,IND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34.85,33.85,33.4,33.02,32.41,32.82,32.93,..,..,..
India,IND,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,3104900000,2816630000,2086940000,1686930000,1311630000,1639510000,856350000,3321000000,1621240000,..
India,IND,Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,2952700000,2816630000,2086940000,1686930000,1311630000,1639510000,856350000,3321000000,1621240000,..
India,IND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.51627596536508,1.69565878566784,2.09211575768566,1.93736319812939,1.5073165808981,1.55821479344505,1.78738173893008,2.41266468032859,1.40815877116502,..
India,IND,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,2863836,3044960,3064543,3106343,3242172,3388915,3394872,..,..,..
India,IND,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.0490051133590748,..,..,..,..,..,..,..,..,..
India,IND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..
India,IND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,28.4048995601154,27.6564012029549,27.34739147794,26.6189999400439,26.500016646713,26.412091901691,24.5964578828891,24.5310661885805,25.8874345670899,..
India,IND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,15.253022692765,15.0655701110742,15.5838545863713,15.162237133123,15.018238750171,14.8815306674604,13.473618107473,13.6833852894253,13.9757688551238,..
India,IND,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,37.609445685235,38.66609008803,42.8636137886518,41.392282940074,41.1977535693425,44.4484380908462,44.5809793016234,44.5809793016234,..,..
India,IND,Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,90636486139700,97121327901500,104918703465800,113282846243700,120341705137300,127337977693500,132194755854600,125850736180300,136054740006600,..
India,IND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,3.67308833438322,2.81368985123428,1.77764002432658,1.74839023532939,1.98393401607656,2.25531632110711,2.01224538396897,1.78466920695081,3.15934537555664,..
India,IND,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,0.0935065065834165,0.0844638547070627,0.0689196343932162,0.0607616430187198,0.0616444207974507,0.0660238912587392,0.0702256864350301,0.0675142930826255,0.0774937091732812,..
India,IND,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1.81237991331203,1.40857675242839,0.892185189951202,0.849895006070074,0.867985809136638,1.02272540703528,0.853397080978412,0.901817540229968,1.62081061089854,..
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,5.24143710241891,4.63653355306791,4.92319617296841,..,..,..,..,..,..,..
India,IND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,1119.9474023131,1106.14179502085,1093.0808169491,1080.20375421752,1067.79250691451,1056.24288390141,1045.46844198198,1035.52945457653,..,..
India,IND,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,4,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,7.72623000155985,8.15652485967214,..,..,..,..,..,..,..,..
